Tibetan	Description
ཤིན་ཀུན་ཉེར་ལྔ་	Ferula Foetida Regel Twenty five [e:Ferula Foetida Regel Twenty five Ingredients: གར་ནག། ཤིང་ཀུན། འབྲོང་ཁྲག། ལི་ཤི། ཛ་ཏི། ཤིང་ཚ། སྒ་སྐྱ། པི་ལིང། ཕོ་རིལ། སྤོས་དཀར། གུལ་ནག། རྒྱ་ཚོས། ཤུ་དག། སེ་འབྲུ། སྒོག་ཐལ། སུག་སྨེལ། ཨ་རུ། ཨར་ནག། རུ་རྟ། མ་ནུ། སླེ་ཏྲེས། རྒྱམ་ཚ། སྨན་ཆེན། གོ་སྙོད་འབྲུ། རི་སྙིང Nature: Warm Uses: A compound which cures རླུང disorders affecting muscle tissue, skin, vessels, bone, five vital organs, six hollow organs and malfunctioning of the five major types of རླུང་ ཤིང་སྐྱུ་རུ་མ ༼bot=༽ Ceratostigma minus Taste: Astringent Potency: Neutral Uses: It is used against hypertension, epistaxis and loss of blood from the uterus after child birth.  
ཤིང་གི་ཆུ་	Forest water [e:Forest water  
ཤིང་གི་ནོར་བུ་	A synonym for ཨ་རུ་ར [e:A synonym for ཨ་རུ་ར (Terminalia chebula).  
ཤིང་གི་གསེར་སྨན་	It is a synonym for སྐྱེར་པ་དཀར་པོ [e:It is a synonym for སྐྱེར་པ་དཀར་པོ (Berberis sp.).  
ཤིང་གྲིབ་	Shade of a tree [e:Shade of a tree  
ཤིང་ངར་	Yastimadhu ༼hn=༽ Mulethi ༼en=༽ Liquorice ༼bot=༽ Glycyrrhiza glabra Family: Papilionaceae [e:༼sk=Yastimadhu༽ ༼hn=༽ Mulethi ༼en=༽ Liquorice ༼bot=༽ Glycyrrhiza glabra Family: Papilionaceae Taste: Sweet Potency: Cool Uses: It treats pulmonary diseases, neurological disorders, thirst, vomitting, hoarseness, heartburn and acts as an expectorant.  
སྦིང་གཉན་གཅོད་པ་	Cutting off the plague-causing demons of tree [e:Cutting off the plague-causing demons of tree (wood)  
ཤིང་ཏེལ་	A wooden cauterisation instrument [e:A wooden cauterisation instrument (༼lv=lit༽ wooden hammer), which is rubbed to generate heat and is applied at the point of a disorder  
ཤིང་ཏོག་བཅུད་ལྡན་	A synonym for ཁམ་བུ [e:A synonym for ཁམ་བུ (Primus sp.).  
ཤིང་ཏོག་ཨ་རྨ་	Amra ༼hn=༽ Aam ༼en=༽ Mango ༼bot=༽ Mangifera indica [e:༼sk=Amra ༽༼hn=༽ Aam ༼en=༽ Mango ༼bot=༽ Mangifera indica Taste: Sweet to slightly astringent Potency: Warm Uses: It strengthens the kidneys, builds immune system, benificial for night blindness, premature wrinkling of the skin, prevents attacks of cold sinusitis and is highly recommended to people suffering from constipation. However, person having diabetes, fever and inflammation as well as obese by nature should take less mangoes.  
ཤིང་ནག་	A synonym for ཨ་ག་རུ [e:A synonym for ཨ་ག་རུ (Aquilaria sinensis).  
ཤིང་བ་ཤ་ཀ་	Parilla frutescens var.acuta [e:Parilla frutescens var.acuta (Thumb) kudo  
ཤིང་མ་གི་ཏ་	A synonym for རེ་རལ [e:A synonym for རེ་རལ (Drynaria sinica Diels).  
ཤིང་རྩེར་འཛེག་པ་	Climb to the top of a tree [e:Climb to the top of a tree  
ཤིངཇོང་འདུ་	The tree of wish fulfilment [e:The tree of wish fulfilment  
ཤིང་ཨ་ཀྲོང་	Buddleia crispa Benth. [e:Buddleia crispa Benth.  
ཤིན་དུ་ཉེ་བའི་འཆི་ལྟས་	Extremely imminent signs of death The extremely imminent signs of death are gradual dissolution of the power of five elements and the five sense faculties resulting in wrong perception and discomfort. [e:Extremely imminent signs of death The extremely imminent signs of death are gradual dissolution of the power of five elements and the five sense faculties resulting in wrong perception and discomfort.  
ཤུགས་བཀག་	Suppression of the manifested natural urges [e:Suppression of the manifested natural urges  
ཤུགས་བཀག་པ་	Forced retention of [e:Forced retention of (stool, urine etc.)  
ཤུལ་ཤ་ནང་	Inner muscles of the back [e:Inner muscles of the back  
ཤུལ་ཤ་ཕྱི་	Outer muscles of the back [e:Outer muscles of the back (lower trapezons)  
ཤེས་པ་འཚུབ་པ་	Unrest mental state, mental instability It is a symptom of diseases caused by རླུང . [e:Unrest mental state, mental instability It is a symptom of diseases caused by རླུང .  
ཤེས་བཞིན་ཀྱི་སྟོབས་	Power of introspective alertness [e:Power of introspective alertness  
གཤའ་ཐལ་	Cassiteritum ash Uses: It is used to heal wounds, disorders caused by evil spirits, acts as an antidote, dries up pus and lymph accumulation and dyes hair. [e:Cassiteritum ash Uses: It is used to heal wounds, disorders caused by evil spirits, acts as an antidote, dries up pus and lymph accumulation and dyes hair.  
གཤའ་རྡོ་	Tin ore [e:Tin ore  
གཤིན་དྲེ་	Death spirits [e:Death spirits  
གཤེདགཟའ་	Foe day or unfavourable day One should avoid starting any important task on the foe day. [e:Foe day or unfavourable day One should avoid starting any important task on the foe day.  
གཤེད་སྐར་	Foe constellation [e:Foe constellation  
བཤོལའགྲོ་སྐྱེས་	༼grm=lit༽ 'born behind the walking plough'; refers to a saint who was present during Buddha's teaching on medicine [e:༼grm=lit༽ 'born behind the walking plough'; refers to a saint who was present during Buddha's teaching on medicine  
བཤང་བ་གཏོང་བ་	Defecate [e:Defecate  
བཤད་པའི་སྡོམ་	Summary of the Explanatory Tantra [e:Summary of the Explanatory Tantra  
བཤད་ལུང་གནང་	To transmit and explain a text [e:To transmit and explain a text  
བཤན་དམར་བྱེད་པ་	To slaughter living beings [e:To slaughter living beings  
བཤིག་བྱེད་ནག་པོ་	A synonym for འབམ་པོ [e:A synonym for འབམ་པོ (Ligusticum pteridophyllum Franch. ex Oliv).  
ས་བསྐར་བདུན་	The seven earth constellations: ༼m1༽ སྣར་མ ༼m2༽ སནརོན། ༼m3༽ ལྷ་མཚམས། ༼m4༽ ཆུ་སྨད། ༼m5༽ གྲོ་བཞིན། ༼m6༽ བྱི་བའིལན། [e:The seven earth constellations:   ༼m1༽ སྣར་མ   ༼m2༽ སནརོན།   ༼m3༽ ལྷ་མཚམས།   ༼m4༽ ཆུ་སྨད།   ༼m5༽ གྲོ་བཞིན།   ༼m6༽ བྱི་བའིལན།   ༼m7༽ མོན་གྲུ  
ས་བཀྲ་ཤིས་པ་	The auspicious ground [e:The auspicious ground  
ས་གཉན་རློག་པ་	Digging up the plague-causing demons of the earth [e:Digging up the plague-causing demons of the earth  
ས་བདག་ཕྱག་རྒྱ་	Protective seal of the lords and ministers of spirits [e:Protective seal of the lords and ministers of spirits  
ས་བོན་འཛགས་པ་	Spermatorrhea, night fall [e:Spermatorrhea, night fall  
ས་བཤད་	Geography ས་སྲན་བརྐོ་བ Digging solid earth, digging hard earth [e:Geography ས་སྲན་བརྐོ་བ Digging solid earth, digging hard earth  
ས་སྲོས་ཁྱི་	Dog hour, dusk [e:Dog hour, dusk (7-8 p.m.) sak tsi Verdigris  
སངས་རྒྱས་ཀྱི་གོ་འཕངས་	Enlightenment; stage of perfection A person who attains enlightenment has completely destroyed ignorance and perfected all knowledge and wisdom. [e:Enlightenment; stage of perfection A person who attains enlightenment has completely destroyed ignorance and perfected all knowledge and wisdom.  
སངས་རྒྱས་བྱམ་ས་པ་	Buddha Maitreya [e:Buddha Maitreya  
སངས་རྒྱས་མར་མེ་མཛད་	Buddha Dipamkara [e:Buddha Dipamkara     
སངས་རྒྱས་འོད་དཔག་མེད་	Buddha Amitabha སངས་རྒྱས་ཤ་ཀྱ་ཐུབ་པ Buddha Shakyamuni He was the fourth Buddha of this aeon, and the revealer of the Dharma healing teachings [e:Buddha Amitabha སངས་རྒྱས་ཤ་ཀྱ་ཐུབ་པ Buddha Shakyamuni He was the fourth Buddha of this aeon, and the revealer of the Dharma healing teachings  
སའི་དཀྱིལ་འཀབོར་	The earth Mandala [e:The earth Mandala  
སུག་སྨེལ་བཅུ་པ་	Cardamom Ten [e:Cardamom Ten Ingredients: སུག་སྨེལ། སྒ་སྐྱ། རྒྱམ་ཚ། པི་པི་ལིང། གླ་རྩི། སྡིག་སྲིན། ལྕམ་པ། ཨ་འབྲས། ས་འབྲས། འཇམ་འབྲས། བུར་དཀར Nature: Warm Uses: A compound which treats renal dysfunction due to rlung and bad-kan, urinary tract calculi and obstruction of urine.  
སེ་འབྲུ་ཀུན་བདེ་	Comforting Punica Granatum [e:Comforting Punica Granatum Ingredients: སེ་འབྲུ། ཤིང་ཚ། སུག་སྨེལ། པི་ལིང། གུར་གུམ། བྲེ་ག། ཏིག་ཏ། འུ་སུ། ཧོང་ལེན། བ་ཤ་ཀ། བྲག་ཞུན། སྤང་རྩི། སྐྱུ་རུ། པྲི་ཡང་ཀུ། ལྕམ་འབྲུ། སྡིག་སྲིན། བུར་དཀར Nature: Warm Uses: A compound which promotes digestive heat, increases appetite, helps to build strength and vigour, cures against urinary tract calculi, nephrosis and obstruction of urine.  
སེ་འབྲུ་ལྔ་པ་	Punica Granatum Five [e:Punica Granatum Five Ingredients: སེ་འབྲུ། ཤིང་ཚ། སུག་སྨེལ། པི་ལིང། སྒ་སྐྱ Nature: Warm Uses: A compound used against indigesdon, stomachal tumour, vomiting, anorexia, hysteria and pain in the kidneys and waist region.  
སེ་འབྲུ་ཉི་དགའ་	Punic Sun Comfort [e:Punic Sun Comfort Ingredients: སེ་འབྲུ། ཤིང་ཚ། སུག་སྨེལ། པི་པི་ལིང། གུར་གུམ། ལྕམ་པ Nature: Warm Uses: It treats debility, promotes digestive heat, clears blockage of vessels due to formation of excess mucus and is diuretic.  
སེ་འབྲུ་དངས་གནས་	Maintainer of Essence [e:Maintainer of Essence Ingredients: སེ་འབྲུ། ཤིང་ཚ། སུག་སྨེལ། པི་པི་ལིང། གུར་གུམ Nature: Warm Uses: A compound which promotes digestive heat, clears the blockage of vessels, heals debility and helps the growing children.  
སེ་འབྲུ་པད་འདབ་	Punica Lotus Pedal [e:Punica Lotus Pedal Ingredients: སེ་འབྲུ། ཤིང་ཚ། སུག་སྨེལ། པི་ལིང། གར་ནག། གསེར་མེ། གསེར་མདོག། སེ་བའི་མེ་ཏོག Nature: Warm Uses: A compound used against dyspepsia, བད་ཀན disorders, gastritis and specially for བད་ཀན associated with མཁྲིས་པ disorders.  
སེང་དེང་ཉེར་ལྔ་	Acacua Catechu Twenty Five [e:Acacua Catechu Twenty Five Ingredients: སེང་ལྡེང། སྐྱུ་རུ། ལྕ་བ། ར་ཉེ། གྱེ་མ། བ་སྤུ། ཉེ་ཤིང། སྤོས་དཀར། ཐལ་རྡོར། སོ་ར། ཟི་དཀར། ཟི་ནག། ཏིལ་དཀར། སླེ་ཏྲེས། བ་རུ། ཨ་རུ། ཏིལ་ནག། སྐྱེར་ཤུན། སྨན་ཆེན། རུ་རྟ། གླ་རྩི། ཤུ་དག། ནག་པོ། པི་པི་ལིང། ཉ་ཕྱིས་བཏུལ་མ། དངུལ་ཆུ་དཀར་བཏུལ། Nature: Cool Uses: A compound which cures paralysis, rigidity of the limbs, neuritis, rheumatoid arthritis, fits, རྐང་འབམ and formation of excess serous fluid.  
སེང་ལྡེང་ཉེར་གསུམ་	Acacia Catechu Twenty three [e:Acacia Catechu Twenty three Ingredients: སེང་ལྡེང། ཨ་རུ། བ་རུ། སྐྱུ་རུ། སྐྱེར་ཤུན། གུལ་ནག། སྤོས་དཀར། གླ་རྩི། ཧོང་ལེན། སོ་ར། ཀྱི་ལྕེ་དཀརཔོ། ཙན་དཀར། ཙན་དམར། བ་ལེ་ཀ། བ་ཤ་ཀ། གུར་གུམ། ཅུ་གང། ཟིར་དཀར། ཡཇར་ནག། གི་ཝམ། ཐལ་རྡོར། བྲག་སྤོས Nature: Cool Uses: A compound used against gout, arthritis, pain in kidneys and waist region, leucorrhea and spermatorrhoea.  
སེམས་ཀཡའི་བདེ་སྐྱིད་	Mental Happiness [e:Mental Happiness Ingredients: གོ་ཡུ་དཀར་པོ། ལི་ཤི། ཛ་ཏི། རྩི་བོ་ཆེ། པི་པི་ལིང། རུ་རྟ། སྙིང་ཞོ་ཤ། ཨར་ནག། བུ་སྨུག་སྨན་ཆེན་འབྲི་ཚིལ། སྒ་སྐྱ། ཕོ་རིལ། ཁ་རུ་ཚ། རི་བོང་སྙིང། འབྲོང་སྙིང Nature: Warm Uses: A compound used against all types of རླུང disorders specifically for རླུང affecting སྲོག་རྩ (life channel) which is manifested as stress, tension, anxiety, mild depression, irritability, lack of concentration, trembling, insanity and dumbness.  
